title,runtime,vote_average,vote_count,year,genre
Toy Story,81.0,7.7,5415.0,1995,animation
Toy Story,81.0,7.7,5415.0,1995,comedy
Toy Story,81.0,7.7,5415.0,1995,family
Jumanji,104.0,6.9,2413.0,1995,adventure
Jumanji,104.0,6.9,2413.0,1995,fantasy
Jumanji,104.0,6.9,2413.0,1995,family
Grumpier Old Men,101.0,6.5,92.0,1995,romance
Grumpier Old Men,101.0,6.5,92.0,1995,comedy
Waiting to Exhale,127.0,6.1,34.0,1995,comedy
Waiting to Exhale,127.0,6.1,34.0,1995,drama
Waiting to Exhale,127.0,6.1,34.0,1995,romance
Father of the Bride Part II,106.0,5.7,173.0,1995,comedy
Heat,170.0,7.7,1886.0,1995,action
Heat,170.0,7.7,1886.0,1995,crime
Heat,170.0,7.7,1886.0,1995,drama
Heat,170.0,7.7,1886.0,1995,thriller
Sabrina,127.0,6.2,141.0,1995,comedy
Sabrina,127.0,6.2,141.0,1995,romance
Tom and Huck,97.0,5.4,45.0,1995,action
Tom and Huck,97.0,5.4,45.0,1995,adventure
Tom and Huck,97.0,5.4,45.0,1995,drama
Tom and Huck,97.0,5.4,45.0,1995,family
Sudden Death,106.0,5.5,174.0,1995,action
Sudden Death,106.0,5.5,174.0,1995,adventure
Sudden Death,106.0,5.5,174.0,1995,thriller
GoldenEye,130.0,6.6,1194.0,1995,adventure
GoldenEye,130.0,6.6,1194.0,1995,action
GoldenEye,130.0,6.6,1194.0,1995,thriller
The American President,106.0,6.5,199.0,1995,comedy
The American President,106.0,6.5,199.0,1995,drama
The American President,106.0,6.5,199.0,1995,romance
Dracula: Dead and Loving It,88.0,5.7,210.0,1995,comedy
Dracula: Dead and Loving It,88.0,5.7,210.0,1995,horror
Balto,78.0,7.1,423.0,1995,family
Balto,78.0,7.1,423.0,1995,animation
Balto,78.0,7.1,423.0,1995,adventure
Nixon,192.0,7.1,72.0,1995,history
Nixon,192.0,7.1,72.0,1995,drama
Cutthroat Island,119.0,5.7,137.0,1995,action
Cutthroat Island,119.0,5.7,137.0,1995,adventure
Casino,178.0,7.8,1343.0,1995,drama
Casino,178.0,7.8,1343.0,1995,crime
Sense and Sensibility,136.0,7.2,364.0,1995,drama
Sense and Sensibility,136.0,7.2,364.0,1995,romance
Four Rooms,98.0,6.5,539.0,1995,crime
Four Rooms,98.0,6.5,539.0,1995,comedy
Ace Ventura: When Nature Calls,90.0,6.1,1128.0,1995,crime
Ace Ventura: When Nature Calls,90.0,6.1,1128.0,1995,comedy
Ace Ventura: When Nature Calls,90.0,6.1,1128.0,1995,adventure
Money Train,103.0,5.4,224.0,1995,action
Money Train,103.0,5.4,224.0,1995,comedy
Money Train,103.0,5.4,224.0,1995,crime
Get Shorty,105.0,6.4,305.0,1995,comedy
Get Shorty,105.0,6.4,305.0,1995,thriller
Get Shorty,105.0,6.4,305.0,1995,crime
Copycat,124.0,6.5,199.0,1995,drama
Copycat,124.0,6.5,199.0,1995,thriller
Assassins,132.0,6.0,394.0,1995,action
Assassins,132.0,6.0,394.0,1995,adventure
Assassins,132.0,6.0,394.0,1995,crime
Assassins,132.0,6.0,394.0,1995,thriller
Powder,111.0,6.3,143.0,1995,drama
Powder,111.0,6.3,143.0,1995,fantasy
Powder,111.0,6.3,143.0,1995,science fiction
Powder,111.0,6.3,143.0,1995,thriller
Leaving Las Vegas,112.0,7.1,365.0,1995,drama
Leaving Las Vegas,112.0,7.1,365.0,1995,romance
Othello,123.0,7.0,33.0,1995,drama
Now and Then,100.0,6.6,91.0,1995,comedy
Now and Then,100.0,6.6,91.0,1995,drama
Now and Then,100.0,6.6,91.0,1995,family
Persuasion,104.0,7.4,36.0,1995,drama
Persuasion,104.0,7.4,36.0,1995,romance
The City of Lost Children,108.0,7.6,308.0,1995,fantasy
The City of Lost Children,108.0,7.6,308.0,1995,science fiction
The City of Lost Children,108.0,7.6,308.0,1995,adventure
Shanghai Triad,108.0,6.5,17.0,1995,drama
Shanghai Triad,108.0,6.5,17.0,1995,crime
Dangerous Minds,99.0,6.4,249.0,1995,drama
Dangerous Minds,99.0,6.4,249.0,1995,crime
Twelve Monkeys,129.0,7.4,2470.0,1995,science fiction
Twelve Monkeys,129.0,7.4,2470.0,1995,thriller
Twelve Monkeys,129.0,7.4,2470.0,1995,mystery
Wings of Courage,50.0,6.8,4.0,1996,romance
Wings of Courage,50.0,6.8,4.0,1996,adventure
Babe,89.0,6.0,756.0,1995,fantasy
Babe,89.0,6.0,756.0,1995,drama
Babe,89.0,6.0,756.0,1995,comedy
Babe,89.0,6.0,756.0,1995,family
Carrington,121.0,6.4,16.0,1995,history
Carrington,121.0,6.4,16.0,1995,drama
Carrington,121.0,6.4,16.0,1995,romance
Dead Man Walking,122.0,7.3,350.0,1995,drama
Across the Sea of Time,51.0,3.5,2.0,1995,adventure
Across the Sea of Time,51.0,3.5,2.0,1995,history
Across the Sea of Time,51.0,3.5,2.0,1995,drama
Across the Sea of Time,51.0,3.5,2.0,1995,family
It Takes Two,101.0,6.1,149.0,1995,comedy
It Takes Two,101.0,6.1,149.0,1995,family
It Takes Two,101.0,6.1,149.0,1995,romance
Clueless,97.0,6.9,828.0,1995,comedy
Clueless,97.0,6.9,828.0,1995,drama
Clueless,97.0,6.9,828.0,1995,romance
"Cry, the Beloved Country",106.0,6.7,13.0,1995,drama
Richard III,104.0,6.9,50.0,1995,drama
Richard III,104.0,6.9,50.0,1995,war
Dead Presidents,119.0,6.6,80.0,1995,action
Dead Presidents,119.0,6.6,80.0,1995,crime
Dead Presidents,119.0,6.6,80.0,1995,drama
Dead Presidents,119.0,6.6,80.0,1995,history
Restoration,117.0,6.3,30.0,1995,drama
Restoration,117.0,6.3,30.0,1995,romance
Mortal Kombat,101.0,5.4,452.0,1995,action
Mortal Kombat,101.0,5.4,452.0,1995,fantasy
To Die For,106.0,6.7,177.0,1995,fantasy
To Die For,106.0,6.7,177.0,1995,drama
To Die For,106.0,6.7,177.0,1995,comedy
To Die For,106.0,6.7,177.0,1995,thriller
How To Make An American Quilt,116.0,6.5,38.0,1995,drama
How To Make An American Quilt,116.0,6.5,38.0,1995,romance
Se7en,127.0,8.1,5915.0,1995,crime
Se7en,127.0,8.1,5915.0,1995,mystery
Se7en,127.0,8.1,5915.0,1995,thriller
Pocahontas,81.0,6.7,1509.0,1995,adventure
Pocahontas,81.0,6.7,1509.0,1995,animation
Pocahontas,81.0,6.7,1509.0,1995,drama
Pocahontas,81.0,6.7,1509.0,1995,family
When Night Is Falling,96.0,5.9,10.0,1995,drama
When Night Is Falling,96.0,5.9,10.0,1995,romance
The Usual Suspects,106.0,8.1,3334.0,1995,drama
The Usual Suspects,106.0,8.1,3334.0,1995,crime
The Usual Suspects,106.0,8.1,3334.0,1995,thriller
Guardian Angel,93.0,6.3,3.0,1994,action
Guardian Angel,93.0,6.3,3.0,1994,thriller
Guardian Angel,93.0,6.3,3.0,1994,drama
Mighty Aphrodite,95.0,6.7,145.0,1995,comedy
Mighty Aphrodite,95.0,6.7,145.0,1995,romance
Lamerica,116.0,7.7,11.0,1994,drama
Lamerica,116.0,7.7,11.0,1994,foreign
The Big Green,100.0,5.2,41.0,1995,action
The Big Green,100.0,5.2,41.0,1995,adventure
The Big Green,100.0,5.2,41.0,1995,comedy
The Big Green,100.0,5.2,41.0,1995,family
Georgia,115.0,6.1,15.0,1995,drama
Kids of the Round Table,89.0,3.0,1.0,1997,
Home for the Holidays,103.0,6.3,39.0,1995,comedy
Home for the Holidays,103.0,6.3,39.0,1995,drama
Home for the Holidays,103.0,6.3,39.0,1995,romance
The Postman,108.0,7.6,181.0,1994,comedy
The Postman,108.0,7.6,181.0,1994,drama
The Postman,108.0,7.6,181.0,1994,romance
The Confessional,100.0,6.5,2.0,1995,thriller
The Confessional,100.0,6.5,2.0,1995,drama
The Confessional,100.0,6.5,2.0,1995,mystery
The Indian in the Cupboard,96.0,5.9,136.0,1995,adventure
The Indian in the Cupboard,96.0,5.9,136.0,1995,family
The Indian in the Cupboard,96.0,5.9,136.0,1995,fantasy
Eye for an Eye,101.0,5.8,65.0,1996,drama
Eye for an Eye,101.0,5.8,65.0,1996,thriller
Mr. Holland's Opus,137.0,6.9,115.0,1995,music
Mr. Holland's Opus,137.0,6.9,115.0,1995,drama
Mr. Holland's Opus,137.0,6.9,115.0,1995,family
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,6.2,192.0,1996,comedy
Two If by Sea,96.0,4.5,14.0,1996,comedy
Two If by Sea,96.0,4.5,14.0,1996,romance
Bio-Dome,88.0,4.4,110.0,1996,comedy
Lawnmower Man 2: Beyond Cyberspace,92.0,2.8,32.0,1996,action
Lawnmower Man 2: Beyond Cyberspace,92.0,2.8,32.0,1996,science fiction
Two Bits,85.0,5.4,11.0,1995,drama
Two Bits,85.0,5.4,11.0,1995,family
French Twist,95.0,6.0,43.0,1995,comedy
French Twist,95.0,6.0,43.0,1995,romance
Friday,91.0,7.0,513.0,1995,comedy
From Dusk Till Dawn,108.0,6.9,1644.0,1996,horror
From Dusk Till Dawn,108.0,6.9,1644.0,1996,action
From Dusk Till Dawn,108.0,6.9,1644.0,1996,thriller
From Dusk Till Dawn,108.0,6.9,1644.0,1996,crime
Fair Game,91.0,4.1,54.0,1995,action
Fair Game,91.0,4.1,54.0,1995,thriller
Fair Game,91.0,4.1,54.0,1995,romance
Kicking and Screaming,96.0,7.0,36.0,1995,comedy
Kicking and Screaming,96.0,7.0,36.0,1995,drama
